Page Header,Name,Match Number,Assignment,Robot?,Team (getting scouted),Page 2 Header,AMP Score (Auto),SPEAKER Score (Auto),Crossed Line?,Game Pieces Taken?,Page 3 Header,Used Coopertition Button,AMP Score (Teleop),SPEAKER Score (Teleop),Shuttled Notes,Intook From (Full Match),Page 4 Header,TRAP Score,Climb Type,Issues,Notes
,Aiden,21,Blue 3,108,,,0,0,FALSE,,,TRUE,4,6,0,Ground,,0,Solo Climb,,"Pretty good, kind of carried. Didn’t have an auto, though"
,Jazlyn,21,Red 2,1218,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,,"really slow robot seemed to have trouble moving, didn’t do anything all round"
,Dillon,21,Blue 2,2046,,,0,4,TRUE,,,TRUE,0,4,5,"Ground , Source",,1,Solo Climb,Parts Fell Off/Robot Broke,Part broke on the shooter thingy made it less consistent but still scored. Shuttled a lot. Good driver.
,Luke,21,Red 1,8298,,,0,1,FALSE,,,TRUE,0,1,0,Ground,,0,,Tipped/Tippy,"Bad robot, tried amp a lot but didn’t work"
,Luke,22,Red 1,8592,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,2,2,5,Ground,,0,Solo Climb,,Slow cycles
,Jazlyn,22,Red 2,9429,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Disabled,wasn’t working the entire match
,Aiden,22,Blue 3,3641,,,0,0,TRUE,Center Line 4,,TRUE,3,2,2,Ground,,0,,,"Looked like they tried to climb, but failed. Didn’t catch all of their auto."
,Taj,22,Red 3,157,,,0,1,TRUE,,,TRUE,5,4,0,Ground,,0,2 Robot Climb,,Idk if in their climb they made it all the way up or not
,Dillon,22,Blue 2,3357,,,0,0,TRUE,,,TRUE,3,3,0,"Ground , Source",,0,Solo Climb,Disabled,Was disabled then stopped. Was good when it was awake. Consistent and quick. Intentional decision making.
,Aiden,23,Blue 3,3128,,,0,4,TRUE,,,TRUE,0,7,5,Ground,,0,Solo Climb,,Terrifyingly fast. They have a pretty decent driver as well.
,Luke,23,Red 1,6652,,,0,0,FALSE,,,FALSE,0,2,0,Ground,,0,,Tipped/Tippy,"Insanely tippy, all weight in one mechanism"
,jonathan,23,Blue 1,3494,,,0,3,TRUE,"Right Spike , Center Spike , Center Line 3",,TRUE,0,7,6,Ground,,0,Solo Climb,,auto scouting wonky couldnt see that well
,Taj,23,Red 3,8891,,,0,2,TRUE,,,TRUE,0,1,0,Ground,,0,Solo Climb,Parts Fell Off/Robot Broke,I think something broke they switched to defense in the last third of the match
,Dillon,23,Blue 2,8188,,,0,1,TRUE,,,TRUE,0,2,0,"Ground , Source",,0,Solo Climb,,Driver had to have been confused. Missed many shots. Looked like a chicken with its head cut off at time.
,Jazlyn,23,Red 2,2834,,,0,1,TRUE,,,TRUE,3,3,0,Ground,,0,Solo Climb,,failed to get trap note and it shoots really fast and hits the bottom of speaker score
,Aiden,24,Blue 3,6574,,,0,0,TRUE,,,TRUE,3,6,0,Ground,,0,Solo Climb,,Slow speaker shooter
,jonathan,24,Blue 1,6328,,,0,3,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,0,1,5,Ground,,1,Solo Climb,,their aim sucks missed speaker a bunch
,Taj,24,Red 3,6647,,,0,1,TRUE,,,TRUE,2,1,0,Ground,,0,,Parts Fell Off/Robot Broke,Maybe broke? Switched to defense halfway
,Dillon,24,Blue 2,99999,,,0,1,TRUE,,,TRUE,0,3,5,"Ground , Source",,0,,,Short auto. Good a shuttling and scoring. Did everything it needed to but climb.
,Luke,24,Red 1,68,,,0,1,FALSE,"Center Line 1 , Center Line 2",,TRUE,0,1,10,Ground,,0,,Made Other Auto Fail,"Auto was too slow, couldn’t shoot the ones they got, fed the whole time"
,Jazlyn,24,Red 2,4270,,,0,2,TRUE,"Center Spike , Center Line 1",,TRUE,5,6,0,Ground,,1,Solo Climb,,"really fast robot, really good at scoring amp and speaker but overshot one auto shot
i think it got center like 1?"
,Luke,25,Red 1,8013,,,0,1,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,5,5,0,"Ground , Source",,1,Solo Climb,Made Other Auto Fail,"Failed auto, only first note went in"
,Aiden,25,Blue 3,8214,,,0,1,TRUE,"Center Line 1 , Center Line 2",,TRUE,5,0,0,Ground,,0,,,Bad speaker shooter accuracy
,Jazlyn,25,Red 2,1325,,,0,2,TRUE,Center Line 2,,TRUE,1,7,0,Ground,,0,Solo Climb,,good auto and good speed but missed a couple speaker shots
,Taj,25,Red 3,3374,,,0,0,TRUE,,,TRUE,1,0,0,Ground,,0,Solo Climb,,
,Dillon,25,Blue 2,4786,,,0,2,TRUE,,,TRUE,2,1,0,Ground,,0,,,Couldnt see well****. It drove around like it had no idea what was happening and was inconsistent.
,Taj,26,Red 3,456,,,0,1,TRUE,,,TRUE,3,2,0,Source,,0,Solo Climb,,Missed speaker a lot
,Aiden,26,Blue 3,5993,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,"Tipped/Tippy , Parts Fell Off/Robot Broke","Attempted to climb, but I think their intake broke"
,Luke,26,Red 1,180,,,0,5,TRUE,,,TRUE,2,5,0,Ground,,1,Solo Climb,Tipped/Tippy,Just slam into them and they will tip over trust 🔥
,Dillon,26,Blue 2,88,,,0,1,TRUE,,,TRUE,4,2,0,"Ground , Source",,1,Solo Climb,,Cant score on speaker. Good at amp scoring. Decent driver.
,Jazlyn,26,Red 2,1403,,,0,4,TRUE,"Center Line 3 , Center Line 4 , Center Line 5",,TRUE,4,4,0,Ground,,0,Solo Climb,,"4 note auto, good at scoring between amp and speaker, good sccuracy"
,Aiden,27,Blue 3,5232,,,0,0,TRUE,Center Line 2,,TRUE,0,0,8,Ground,,0,Solo Climb,,Attempted to 2 robot climb.
,Luke,27,Red 1,687,,,0,3,TRUE,"Center Spike , Center Line 3",,TRUE,7,5,0,Ground,,0,,,"Kept feeding amp the whole time to get amplification, pretty accurate"
,Dillo,27,Blue 2,302,,,0,1,TRUE,,,TRUE,6,9,0,"Ground , Source",,0,Solo Climb,,Kevin durant in terms of scoring. Bad at making space for team. Probably cost the game for that.
,Taj,27,Red 3,6615,,,0,0,TRUE,,,TRUE,0,9,0,"Ground , Source",,0,Solo Climb,,Very consistent speaker scoring
,Jalzny,27,Red 2,3546,,,0,1,FALSE,,,TRUE,0,2,7,Ground,,1,Solo Climb,,"just found out what a shuttle note is it might be more than 7. pssses notes a lot to other side and attempts to score occasionally, able to score in trap"
,Taj,28,Red 3,9694,,,0,0,TRUE,,,TRUE,0,1,0,,,0,,,I don’t think they have an intake
,jonathan,28,Blue 1,195,,,0,2,TRUE,Center Line 3,,TRUE,7,4,0,Ground,,0,Solo Climb,,
,Aiden,28,Blue 3,2080,,,0,1,FALSE,,,TRUE,0,0,0,,,0,,,Did a whole bunch of nothing
,Dillon,28,Blue 2,2096,,,0,1,TRUE,,,TRUE,0,1,5,Source,,0,Solo Climb,,Driver seemed confused. Didnt contribute much.
,Luke,28,Red 1,4481,,,0,3,TRUE,"Left Spike , Center Line 2",,TRUE,4,5,0,Ground,,0,,,Good
,Jazlyn,28,Red 2,5895,,,0,2,TRUE,"Center Line 1 , Center Line 3",,TRUE,3,5,0,Ground,,0,Solo Climb,,missed center line 2
,Taj,29,Red 3,2079,,,0,0,FALSE,,,TRUE,0,0,6,Source,,0,,Parts Fell Off/Robot Broke,I think one of their hooks broke
,Aiden,29,Blue 3,8298,,,0,1,FALSE,,,TRUE,0,0,0,Ground,,0,,Tipped/Tippy,Just barely didn’t climb up in time. Driver is a bit clumsy
,Luke,29,Red 1,5940,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike , Center Line 4",,TRUE,4,6,0,Ground,,1,Solo Climb,,Low key good
,Dillon,29,Blue 2,5809,,,0,3,TRUE,,,TRUE,2,5,0,"Ground , Source",,0,,,It was very good at the beginning but it became disabled and performed badly after words. Struggled to hit amp
,Aiden,30,Blue 3,4414,,,0,3,TRUE,"Center Line 4 , Center Line 5",,TRUE,0,3,8,Ground,,0,Solo Climb,,
,Luke,30,Red 1,9584,,,0,1,TRUE,,,FALSE,0,0,4,Source,,0,2 Robot Climb,,Can do nothing but feed and CLIMB??? brother 💔💔💔
,Taj,30,Red 3,509,,,0,1,TRUE,,,TRUE,0,5,0,Source,,0,Solo Climb,Note Stuck In Robot,Fast and good at speaker
,Dillon,30,Blue 2,33,,,0,3,TRUE,,,TRUE,0,4,4,"Ground , Source",,0,Solo Climb,,It was very fast and intentional in its driving. Scored ok
,Owen Reynolds (filling in for Freya),31,Blue 1,8891,,,0,1,FALSE,,,TRUE,0,0,0,,,0,Solo Climb,Parts Fell Off/Robot Broke,Shooter broke
,Jalen,31,Blue 2,2370,,,0,1,TRUE,,,FALSE,3,0,0,Source,,0,,,
,jonathan,31,Red 2,3175,,,0,2,TRUE,Center Spike,,TRUE,1,5,0,Ground,,0,Solo Climb,,
,Noah Carrillo,31,Red 3,1671,,,0,1,TRUE,,,TRUE,0,3,2,Ground,,0,,,"Couldn’t get notes in auto, preferred to shuttle notes to the ref than score."
,Logan,31,Red 1,157,,,0,0,FALSE,,,FALSE,2,2,0,Ground,,0,,,"Not accurate scouting, i started late"
,Logan,32,Red 1,5715,,,0,4,TRUE,"Right Spike , Center Spike , Left Spike",,TRUE,4,4,1,Ground,,0,Solo Climb,,
,jonathan,32,Red 2,6652,,,0,0,FALSE,,,TRUE,0,0,0,Ground,,0,,"Tipped/Tippy , Note Stuck In Robot",i dont know what they were doing bro this cannot be a worlds level bot.
,Jalen,32,Blue 2,9455,,,0,0,FALSE,,,FALSE,0,1,0,,,0,2 Robot Climb,,It was doing nothing when it was auto
,Noah Carrillo,32,Red 3,4230,,,0,1,TRUE,Center Line 2,,TRUE,2,4,0,Ground,,0,Solo Climb,,Movement was erratic. Not bad over all.
,Garys,32,Blue 3,68,,,0,0,TRUE,Center Line 1,,TRUE,0,0,0,Ground,,0,,Disabled,Froze mid match for unknown reason. Also score could be off as I'm currently at a poor viewing spot.
,Jalen,33,Blue 2,3357,,,0,0,TRUE,,,FALSE,6,2,0,Source,,0,,,
,Karos Rasheed,33,Red 1,6574,,,0,0,TRUE,Center Line 1,,FALSE,0,2,0,"Ground , Source",,0,3 Robot Climb,,not bad robot just wasn’t consistent making shots
,Noah Carrillo,33,Red 3,2046,,,0,2,TRUE,"Center Line 2 , Center Line 3 , Center Line 4",,TRUE,0,5,0,Ground,,1,Solo Climb,,"Fantastic. Fast, incredibly accurate. But, easily blocked."
,Logan,33,Red 1,6574,,,0,1,TRUE,Center Line 1,,TRUE,3,3,0,Ground,,0,Solo Climb,,Missed more shots than they scored on speaker
,jonathan,33,Red 2,8576,,,0,1,TRUE,Center Spike,,TRUE,0,0,16,Ground,,0,Solo Climb,,shuttled forever
,Garys,33,Blue 3,8159,,,0,0,TRUE,Left Spike,,TRUE,0,3,5,Source,,0,,Parts Fell Off/Robot Broke,Intake broke near the end. Robot resorted to shuttling.
,Freya,34,Blue 1,3134,,,0,2,FALSE,,,FALSE,0,2,0,Ground,,0,Solo Climb,,
,Noah Carrillo,34,Red 3,9576,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,Disabled,
,Jalen,34,Blue 2,8013,,,0,2,FALSE,Right Spike,,FALSE,5,3,0,Source,,0,3 Robot Climb,,
,Garys,34,Blue 3,4786,,,0,0,TRUE,Center Line 2,,TRUE,0,5,2,Source,,0,Solo Climb,,
,Logan,34,Red 1,9429,,,0,0,FALSE,,,FALSE,0,0,0,Source,,0,,"Tipped/Tippy , Parts Fell Off/Robot Broke","Kit bot, way too light, no swerve, shooter stopped working"
,Karos Rasheed,34,Red 1,9429,,,0,0,FALSE,,,FALSE,0,1,0,Source,,0,,Tipped/Tippy,Was really slow. Could only get notes from source and the robot looked like it’d almost tip. I did not see if it had a climbing mechanism but it didn’t clime either
,jonathan,34,Red 2,5705,,,0,1,TRUE,,,FALSE,0,5,0,Ground,,0,2 Robot Climb,,
,Jalen,35,Blue 2,3494,,,0,0,FALSE,,,FALSE,1,0,0,Ground,,1,2 Robot Climb,,
,jonathan,35,Red 2,6328,,,0,1,TRUE,,,TRUE,0,3,6,Ground,,1,Solo Climb,,
,Freya,35,Blue 1,3006,,,0,4,TRUE,,,FALSE,4,3,0,Ground,,0,Solo Climb,,
,Logan,35,Red 1,3374,,,0,0,FALSE,,,FALSE,0,0,0,Ground,,0,,Parts Fell Off/Robot Broke,Tried to play defense but didn’t stop anything
,Karos,35,Red 1,3374,,,0,0,FALSE,Left Spike,,,0,0,0,,,0,3 Robot Climb,,Was mostly defending instead of scoring. Was good at climbing
,Noah,35,Red 3,108,,,0,1,TRUE,,,TRUE,7,6,0,Ground,,0,Solo Climb,,Nothing bad. Held to the space by the amp and was fed notes from teammates.
,Garys,35,Blue 3,8613,,,0,0,FALSE,,,TRUE,0,4,6,Source,,0,,,
,Freya,36,Blue 1,4270,,,0,2,TRUE,,,FALSE,4,4,0,Ground,,0,,,
,Logan,36,Red 1,9726,,,0,0,FALSE,,,FALSE,0,0,0,Source,,0,,"Tipped/Tippy , Disabled","Kit bot that has a sail and a picture of shaq, too tippy to defend"
,jonathan,36,Red 2,3641,,,0,2,TRUE,Right Spike,,TRUE,3,1,0,Ground,,0,Solo Climb,,
,Jalen,36,Blue 2,1325,,,0,0,FALSE,,,TRUE,3,3,0,Source,,0,,,
,Karos,36,Red 1,9726,,,0,0,FALSE,,,FALSE,0,0,0,,,0,,,Didn’t really do nothing. Just sat in place and had a big pic of someone on the robot
,Noah Carrillo,36,Red 3,8188,,,0,2,TRUE,Center Line 5,,TRUE,1,3,6,Ground,,0,,,Felt like it wasn’t sure of what role to play in the alliance. But was good overall.
,Garys,36,Blue 3,7712,,,0,0,TRUE,,,TRUE,0,3,0,Ground,,0,Solo Climb,,Would pick up peice and drop near speaker. Kinda slow?
,Logan,37,Red 1,4909,,,0,3,TRUE,"Center Spike , Left Spike",,TRUE,0,1,8,Ground,,1,Solo Climb,,
,Noah Carrillo,37,Red 3,2834,,,0,0,FALSE,,,TRUE,4,1,0,Ground,,0,Solo Climb,,I missed some of what happened. But what I did see was good.
,Freya,37,Blue 1,8214,,,0,3,TRUE,,,FALSE,4,3,0,Ground,,0,,,
,Jalen,37,Blue 2,9072,,,0,1,TRUE,,,FALSE,0,4,0,Source,,0,,,My robot thought it was Stephen curry
,Garys,37,Blue 3,2531,,,0,0,TRUE,,,TRUE,0,5,9,Ground,,0,,,Shuttle robot; didn't shoot note during auto but moved as if it were supposed to.
,jonathan,37,Red 2,1781,,,0,1,TRUE,,,TRUE,1,4,0,Ground,,0,,,not trustworthy data this one i got distracted
,Karos,37,Red 1,4909,,,0,0,TRUE,,,FALSE,0,0,0,"Ground , Source",,1,2 Robot Climb,,Was shooting from amp to near speaker for other robots to shoot it in. Good gameplan
